Piattaforma CNR;latitudine_Nord;45.323056;longitudine_Est;12.514722
data_ora_solare;valore (m);;;
13/02/2021 23:15;0.66;max;;
14/02/2021 05:25;0.02;min;;
14/02/2021 11:05;0.58;max;;
14/02/2021 17:30;-0.22;min;;
14/02/2021 23:55;0.51;max;;
15/02/2021 05:35;0;min;;
15/02/2021 11:20;0.52;max;;
15/02/2021 18:05;-0.3;min;;
16/02/2021 00:55;0.46;max;;
16/02/2021 06:20;0.05;min;;
16/02/2021 11:30;0.45;max;;
16/02/2021 17:55;-0.26;min;;
17/02/2021 01:00;0.53;max;;
17/02/2021 07:25;0.14;min;;
17/02/2021 11:45;0.33;max;;
17/02/2021 17:55;-0.13;min;;
18/02/2021 01:00;0.57;max;;
18/02/2021 08:30;0.09;min;;
18/02/2021 12:40;0.2;max;;
18/02/2021 17:45;-0.02;min;;
19/02/2021 01:30;0.55;max;;
19/02/2021 10:05;0.07;min;;
20/02/2021 01:55;0.48;max;;
20/02/2021 11:40;-0.06;min;;
21/02/2021 01:40;0.37;max;;
21/02/2021 12:20;-0.1;min;;
21/02/2021 20:50;0.34;max;;
22/02/2021 02:20;0.22;min;;
22/02/2021 05:55;0.29;max;;
22/02/2021 13:10;-0.21;min;;
22/02/2021 20:20;0.37;max;;
23/02/2021 01:55;0.1;min;;
23/02/2021 07:20;0.33;max;;
23/02/2021 14:05;-0.34;min;;
23/02/2021 20:50;0.31;max;;
24/02/2021 02:15;-0.04;min;;
24/02/2021 07:55;0.4;max;;
24/02/2021 14:50;-0.42;min;;
24/02/2021 21:20;0.41;max;;
25/02/2021 02:45;0;min;;
25/02/2021 08:25;0.51;max;;
25/02/2021 14:55;-0.47;min;;
25/02/2021 21:50;0.48;max;;
26/02/2021 03:15;-0.06;min;;
26/02/2021 08:55;0.52;max;;
26/02/2021 15:35;-0.51;min;;
26/02/2021 22:30;0.55;max;;
27/02/2021 03:45;-0.09;min;;
27/02/2021 09:35;0.53;max;;
27/02/2021 16:25;-0.5;min;;
27/02/2021 23:00;0.59;max;;
28/02/2021 04:55;-0.2;min;;
28/02/2021 10:10;0.44;max;;
28/02/2021 16:40;-0.56;min;;
28/02/2021 23:05;0.49;max;;
01/03/2021 05:00;-0.29;min;;
01/03/2021 10:55;0.37;max;;
01/03/2021 17:05;-0.51;min;;
01/03/2021 23:55;0.43;max;;
02/03/2021 05:40;-0.26;min;;
02/03/2021 11:20;0.31;max;;
02/03/2021 17:45;-0.46;min;;
03/03/2021 00:15;0.43;max;;
03/03/2021 06:25;-0.29;min;;
03/03/2021 11:45;0.16;max;;
03/03/2021 17:35;-0.33;min;;
04/03/2021 00:50;0.45;max;;
04/03/2021 07:30;-0.22;min;;
04/03/2021 13:25;0.08;max;;
04/03/2021 17:40;-0.09;min;;
05/03/2021 01:00;0.47;max;;
05/03/2021 08:30;-0.2;min;;
06/03/2021 00:55;0.5;max;;
06/03/2021 10:40;-0.27;min;;
06/03/2021 19:35;0.15;max;;
06/03/2021 23:05;0.08;min;;
07/03/2021 03:15;0.18;max;;
07/03/2021 12:05;-0.21;min;;
07/03/2021 19:45;0.19;max;;
08/03/2021 01:00;0.09;min;;
08/03/2021 05:45;0.25;max;;
08/03/2021 13:40;-0.24;min;;
08/03/2021 20:45;0.27;max;;
09/03/2021 02:40;0.04;min;;
09/03/2021 08:05;0.39;max;;
09/03/2021 14:15;-0.29;min;;
09/03/2021 21:00;0.45;max;;
10/03/2021 02:30;-0.01;min;;
10/03/2021 07:50;0.44;max;;
10/03/2021 14:55;-0.37;min;;
10/03/2021 21:20;0.43;max;;
11/03/2021 02:30;-0.03;min;;
11/03/2021 08:40;0.56;max;;
11/03/2021 15:05;-0.35;min;;
11/03/2021 21:55;0.61;max;;
12/03/2021 03:05;0.09;min;;
12/03/2021 08:35;0.64;max;;
12/03/2021 15:25;-0.25;min;;
12/03/2021 22:20;0.76;max;;
13/03/2021 04:30;-0.05;min;;
13/03/2021 09:20;0.48;max;;
13/03/2021 15:15;-0.28;min;;
13/03/2021 22:05;0.85;max;;
14/03/2021 04:50;-0.05;min;;
14/03/2021 10:15;0.55;max;;
14/03/2021 16:30;-0.28;min;;
14/03/2021 22:50;0.7;max;;
15/03/2021 05:10;-0.47;min;;
15/03/2021 11:05;0.5;max;;
15/03/2021 16:20;-0.09;min;;
15/03/2021 22:10;0.64;max;;
16/03/2021 04:35;-0.25;min;;
16/03/2021 11:20;0.51;max;;
16/03/2021 16:55;-0.06;min;;
16/03/2021 22:50;0.46;max;;
17/03/2021 05:05;-0.13;min;;
17/03/2021 11:20;0.43;max;;
17/03/2021 17:15;-0.06;min;;
17/03/2021 23:55;0.43;max;;
18/03/2021 06:25;-0.05;min;;
18/03/2021 12:10;0.38;max;;
18/03/2021 18:00;-0.02;min;;
19/03/2021 00:30;0.51;max;;
19/03/2021 07:00;-0.05;min;;
19/03/2021 12:40;0.29;max;;
19/03/2021 17:35;0.03;min;;
20/03/2021 00:00;0.49;max;;
20/03/2021 07:20;-0.05;min;;
20/03/2021 13:15;0.2;max;;
20/03/2021 16:40;0.12;min;;
21/03/2021 00:05;0.41;max;;
21/03/2021 09:05;-0.01;min;;
22/03/2021 01:20;0.33;max;;
22/03/2021 12:00;0.01;min;;
22/03/2021 21:45;0.35;max;;
23/03/2021 02:45;0.23;min;;
23/03/2021 06:10;0.29;max;;
23/03/2021 13:55;-0.26;min;;
23/03/2021 21:00;0.4;max;;
24/03/2021 01:10;0.23;min;;
24/03/2021 06:40;0.4;max;;
24/03/2021 13:20;-0.37;min;;
24/03/2021 20:30;0.5;max;;
25/03/2021 02:00;0.17;min;;
25/03/2021 07:15;0.45;max;;
25/03/2021 13:40;-0.34;min;;
25/03/2021 20:45;0.65;max;;
26/03/2021 02:40;0.07;min;;
26/03/2021 08:05;0.45;max;;
26/03/2021 14:35;-0.31;min;;
26/03/2021 21:00;0.74;max;;
27/03/2021 03:25;-0.07;min;;
27/03/2021 08:55;0.51;max;;
27/03/2021 14:50;-0.29;min;;
27/03/2021 21:25;0.74;max;;
28/03/2021 03:40;-0.28;min;;
28/03/2021 09:35;0.47;max;;
28/03/2021 15:35;-0.34;min;;
28/03/2021 22:00;0.61;max;;
29/03/2021 04:15;-0.43;min;;
29/03/2021 10:05;0.38;max;;
29/03/2021 16:00;-0.42;min;;
29/03/2021 22:20;0.49;max;;
30/03/2021 04:45;-0.49;min;;
30/03/2021 10:35;0.33;max;;
30/03/2021 16:35;-0.42;min;;
30/03/2021 22:55;0.51;max;;
31/03/2021 05:15;-0.39;min;;
31/03/2021 11:25;0.24;max;;
31/03/2021 16:55;-0.27;min;;
31/03/2021 23:30;0.55;max;;
01/04/2021 06:20;-0.3;min;;
01/04/2021 12:25;0.19;max;;
01/04/2021 17:00;-0.04;min;;
01/04/2021 23:45;0.64;max;;
02/04/2021 07:00;-0.21;min;;
02/04/2021 15:05;0.25;max;;
02/04/2021 16:45;0.23;min;;
02/04/2021 23:45;0.67;max;;
03/04/2021 07:30;-0.06;min;;
03/04/2021 20:40;0.46;max;;
04/04/2021 07:45;-0.07;min;;
04/04/2021 18:15;0.4;max;;
05/04/2021 00:55;0.16;min;;
05/04/2021 06:25;0.23;max;;
05/04/2021 11:00;0.05;min;;
05/04/2021 21:15;0.47;max;;
06/04/2021 01:40;0.31;min;;
06/04/2021 06:05;0.53;max;;
06/04/2021 12:20;0.03;min;;
06/04/2021 20:55;0.56;max;;
07/04/2021 01:10;0.1;min;;
07/04/2021 05:55;0.41;max;;
07/04/2021 14:10;-0.13;min;;
07/04/2021 20:25;0.59;max;;
08/04/2021 02:20;-0.02;min;;
08/04/2021 08:05;0.4;max;;
08/04/2021 13:40;-0.16;min;;
08/04/2021 20:45;0.6;max;;
09/04/2021 02:50;-0.1;min;;
09/04/2021 08:15;0.45;max;;
09/04/2021 14:15;-0.23;min;;
09/04/2021 21:00;0.65;max;;
10/04/2021 03:30;-0.12;min;;
10/04/2021 08:25;0.42;max;;
10/04/2021 14:30;-0.27;min;;
10/04/2021 21:10;0.7;max;;
11/04/2021 03:45;-0.17;min;;
11/04/2021 09:55;0.48;max;;
11/04/2021 14:50;0.03;min;;
11/04/2021 21:15;0.8;max;;
12/04/2021 04:00;-0.26;min;;
12/04/2021 10:25;0.59;max;;
12/04/2021 16:00;0.12;min;;
12/04/2021 21:20;0.82;max;;
13/04/2021 04:20;-0.24;min;;
13/04/2021 10:25;0.64;max;;
13/04/2021 16:05;-0.02;min;;
13/04/2021 22:00;0.61;max;;
14/04/2021 04:30;-0.34;min;;
14/04/2021 10:50;0.45;max;;
14/04/2021 16:10;-0.03;min;;
14/04/2021 22:15;0.49;max;;
15/04/2021 05:20;-0.17;min;;
15/04/2021 10:55;0.43;max;;
15/04/2021 17:00;-0.05;min;;
15/04/2021 22:55;0.45;max;;
16/04/2021 05:05;-0.16;min;;
16/04/2021 12:05;0.27;max;;
16/04/2021 16:55;-0.02;min;;
16/04/2021 23:30;0.38;max;;
17/04/2021 06:25;-0.15;min;;
17/04/2021 13:20;0.33;max;;
17/04/2021 17:55;0.15;min;;
18/04/2021 00:05;0.47;max;;
18/04/2021 07:10;-0.02;min;;
18/04/2021 14:10;0.37;max;;
18/04/2021 18:20;0.22;min;;
18/04/2021 23:25;0.49;max;;
19/04/2021 08:00;0.06;min;;
19/04/2021 23:10;0.41;max;;
20/04/2021 11:20;0.04;min;;
20/04/2021 19:15;0.5;max;;
21/04/2021 02:40;0.32;min;;
21/04/2021 04:35;0.34;max;;
21/04/2021 11:45;-0.01;min;;
21/04/2021 19:05;0.59;max;;
22/04/2021 01:35;0.26;min;;
22/04/2021 06:15;0.38;max;;
22/04/2021 12:50;-0.02;min;;
22/04/2021 19:45;0.68;max;;
23/04/2021 02:10;0.05;min;;
23/04/2021 07:10;0.39;max;;
23/04/2021 13:15;-0.21;min;;
23/04/2021 20:00;0.65;max;;
24/04/2021 02:25;-0.15;min;;
24/04/2021 07:55;0.44;max;;
24/04/2021 13:35;-0.23;min;;
24/04/2021 20:05;0.69;max;;
25/04/2021 02:35;-0.23;min;;
25/04/2021 08:55;0.46;max;;
25/04/2021 14:15;-0.14;min;;
25/04/2021 20:30;0.75;max;;
26/04/2021 03:05;-0.25;min;;
26/04/2021 09:10;0.55;max;;
26/04/2021 15:35;-0.08;min;;
26/04/2021 20:55;0.84;max;;
27/04/2021 03:30;-0.32;min;;
27/04/2021 10:30;0.59;max;;
27/04/2021 15:50;0.08;min;;
27/04/2021 21:10;0.88;max;;
28/04/2021 04:25;-0.3;min;;
28/04/2021 11:20;0.64;max;;
28/04/2021 16:15;0.18;min;;
28/04/2021 22:10;0.85;max;;
29/04/2021 05:15;-0.21;min;;
29/04/2021 11:25;0.66;max;;
29/04/2021 16:40;0.27;min;;
29/04/2021 22:55;0.81;max;;
30/04/2021 05:40;-0.1;min;;
30/04/2021 12:40;0.57;max;;
30/04/2021 17:15;0.33;min;;
30/04/2021 23:25;0.76;max;;
01/05/2021 07:25;-0.04;min;;
02/05/2021 00:10;0.84;max;;
02/05/2021 07:45;0.07;min;;
02/05/2021 21:00;0.58;max;;
03/05/2021 08:30;-0.07;min;;
03/05/2021 19:45;0.55;max;;
04/05/2021 10:00;-0.05;min;;
04/05/2021 18:15;0.71;max;;
05/05/2021 02:30;0.25;min;;
05/05/2021 06:00;0.28;max;;
05/05/2021 11:25;0.04;min;;
05/05/2021 18:50;0.81;max;;
06/05/2021 02:40;0.16;min;;
06/05/2021 05:45;0.31;max;;
06/05/2021 12:15;0.08;min;;
06/05/2021 19:30;0.82;max;;
07/05/2021 02:45;0.05;min;;
07/05/2021 07:40;0.46;max;;
07/05/2021 12:40;0.14;min;;
07/05/2021 19:20;0.85;max;;
08/05/2021 03:05;-0.12;min;;
08/05/2021 08:15;0.4;max;;
08/05/2021 13:20;0;min;;
08/05/2021 20:10;0.6;max;;
09/05/2021 02:35;-0.26;min;;
09/05/2021 08:50;0.46;max;;
09/05/2021 14:35;0.03;min;;
09/05/2021 20:35;0.63;max;;
10/05/2021 03:10;-0.21;min;;
10/05/2021 09:20;0.56;max;;
10/05/2021 14:50;0.02;min;;
10/05/2021 20:55;0.72;max;;
11/05/2021 03:35;-0.2;min;;
11/05/2021 10:20;0.53;max;;
11/05/2021 14:45;0.1;min;;
11/05/2021 21:15;0.85;max;;
12/05/2021 04:05;-0.2;min;;
12/05/2021 10:30;0.55;max;;
12/05/2021 15:25;0.24;min;;
12/05/2021 21:55;0.84;max;;
13/05/2021 04:40;-0.23;min;;
13/05/2021 11:10;0.56;max;;
13/05/2021 16:05;0.35;min;;
13/05/2021 21:25;0.88;max;;
14/05/2021 05:20;-0.27;min;;
14/05/2021 12:30;0.56;max;;
14/05/2021 15:55;0.45;min;;
14/05/2021 21:00;0.75;max;;
15/05/2021 05:25;-0.25;min;;
15/05/2021 13:25;0.65;max;;
15/05/2021 17:55;0.47;min;;
15/05/2021 22:35;0.67;max;;
16/05/2021 05:40;-0.12;min;;
16/05/2021 13:20;0.66;max;;
16/05/2021 17:40;0.4;min;;
16/05/2021 23:15;0.62;max;;
17/05/2021 06:40;0.09;min;;
17/05/2021 13:40;0.56;max;;
17/05/2021 18:55;0.36;min;;
17/05/2021 23:40;0.47;max;;
18/05/2021 08:45;0.05;min;;
18/05/2021 14:55;0.49;max;;
18/05/2021 19:10;0.41;min;;
19/05/2021 01:50;0.54;max;;
19/05/2021 10:00;-0.05;min;;
19/05/2021 18:45;0.46;max;;
20/05/2021 11:35;-0.15;min;;
20/05/2021 18:35;0.52;max;;
21/05/2021 01:25;0.14;min;;
21/05/2021 05:20;0.29;max;;
21/05/2021 11:25;-0.12;min;;
21/05/2021 18:35;0.76;max;;
22/05/2021 01:10;0.07;min;;
22/05/2021 07:10;0.36;max;;
22/05/2021 12:35;0.01;min;;
22/05/2021 19:00;0.85;max;;
23/05/2021 02:25;-0.11;min;;
23/05/2021 08:05;0.48;max;;
23/05/2021 12:55;0.06;min;;
23/05/2021 19:25;0.88;max;;
24/05/2021 03:10;-0.36;min;;
24/05/2021 09:20;0.46;max;;
24/05/2021 13:40;0.02;min;;
24/05/2021 19:25;0.87;max;;
25/05/2021 03:40;-0.38;min;;
25/05/2021 09:40;0.52;max;;
25/05/2021 14:40;0.1;min;;
25/05/2021 20:25;0.79;max;;
26/05/2021 03:35;-0.46;min;;
26/05/2021 10:05;0.42;max;;
26/05/2021 15:30;0.07;min;;
26/05/2021 20:55;0.68;max;;
27/05/2021 04:15;-0.48;min;;
27/05/2021 11:00;0.49;max;;
27/05/2021 15:55;0.07;min;;
27/05/2021 21:05;0.63;max;;
28/05/2021 05:30;-0.45;min;;
28/05/2021 11:55;0.32;max;;
28/05/2021 17:15;0.13;min;;
28/05/2021 23:05;0.56;max;;
29/05/2021 05:30;-0.41;min;;
29/05/2021 13:00;0.41;max;;
29/05/2021 17:25;0.2;min;;
29/05/2021 23:30;0.54;max;;
30/05/2021 05:55;-0.34;min;;
30/05/2021 14:40;0.39;max;;
30/05/2021 19:15;0.25;min;;
30/05/2021 23:40;0.38;max;;
31/05/2021 07:00;-0.27;min;;
31/05/2021 14:20;0.4;max;;
31/05/2021 20:30;0.19;min;;
01/06/2021 00:40;0.29;max;;
01/06/2021 07:30;-0.1;min;;
01/06/2021 17:05;0.44;max;;
01/06/2021 22:35;0.21;min;;
02/06/2021 02:20;0.25;max;;
02/06/2021 09:40;-0.02;min;;
02/06/2021 18:05;0.5;max;;
03/06/2021 00:30;0.11;min;;
03/06/2021 04:55;0.24;max;;
03/06/2021 10:50;-0.08;min;;
03/06/2021 18:20;0.59;max;;
04/06/2021 00:45;0.02;min;;
04/06/2021 05:30;0.23;max;;
04/06/2021 11:10;-0.05;min;;
04/06/2021 18:15;0.64;max;;
05/06/2021 01:30;-0.01;min;;
05/06/2021 06:55;0.26;max;;
05/06/2021 11:20;0.06;min;;
05/06/2021 18:35;0.68;max;;
06/06/2021 02:10;-0.1;min;;
06/06/2021 08:00;0.33;max;;
06/06/2021 12:50;0.16;min;;
06/06/2021 19:10;0.68;max;;
07/06/2021 03:00;-0.2;min;;
07/06/2021 09:35;0.43;max;;
07/06/2021 13:55;0.18;min;;
07/06/2021 19:30;0.72;max;;
08/06/2021 03:10;-0.28;min;;
08/06/2021 09:30;0.5;max;;
08/06/2021 14:15;0.17;min;;
08/06/2021 20:20;0.65;max;;
09/06/2021 03:15;-0.3;min;;
09/06/2021 10:00;0.52;max;;
09/06/2021 14:50;0.18;min;;
09/06/2021 20:55;0.66;max;;
10/06/2021 03:35;-0.27;min;;
10/06/2021 10:20;0.56;max;;
10/06/2021 15:30;0.17;min;;
10/06/2021 21:35;0.72;max;;
11/06/2021 04:00;-0.19;min;;
11/06/2021 10:40;0.55;max;;
11/06/2021 16:10;0.22;min;;
11/06/2021 21:50;0.77;max;;
12/06/2021 04:40;-0.22;min;;
12/06/2021 11:30;0.55;max;;
12/06/2021 16:10;0.27;min;;
12/06/2021 22:10;0.75;max;;
13/06/2021 05:20;-0.18;min;;
13/06/2021 12:15;0.57;max;;
13/06/2021 16:55;0.37;min;;
13/06/2021 22:45;0.71;max;;
14/06/2021 06:00;-0.13;min;;
14/06/2021 14:00;0.54;max;;
14/06/2021 18:05;0.39;min;;
14/06/2021 23:05;0.59;max;;
15/06/2021 07:00;-0.15;min;;
15/06/2021 14:05;0.55;max;;
15/06/2021 19:10;0.33;min;;
16/06/2021 00:15;0.5;max;;
16/06/2021 07:30;-0.08;min;;
16/06/2021 14:35;0.57;max;;
16/06/2021 19:45;0.36;min;;
17/06/2021 00:40;0.5;max;;
17/06/2021 08:35;-0.01;min;;
17/06/2021 16:00;0.61;max;;
18/06/2021 09:40;0.04;min;;
18/06/2021 17:15;0.7;max;;
19/06/2021 01:35;0.2;min;;
19/06/2021 05:25;0.3;max;;
19/06/2021 10:35;0.06;min;;
19/06/2021 17:30;0.8;max;;
20/06/2021 01:00;0.07;min;;
20/06/2021 07:10;0.35;max;;
20/06/2021 11:05;0.17;min;;
20/06/2021 18:40;0.86;max;;
21/06/2021 02:15;-0.03;min;;
21/06/2021 08:20;0.52;max;;
21/06/2021 12:25;0.34;min;;
21/06/2021 18:45;0.92;max;;
22/06/2021 02:20;-0.12;min;;
22/06/2021 09:05;0.64;max;;
22/06/2021 13:50;0.3;min;;
22/06/2021 19:30;0.93;max;;
23/06/2021 03:10;-0.2;min;;
23/06/2021 09:20;0.66;max;;
23/06/2021 13:45;0.29;min;;
23/06/2021 19:55;0.9;max;;
24/06/2021 03:30;-0.2;min;;
24/06/2021 10:45;0.61;max;;
24/06/2021 15:05;0.32;min;;
24/06/2021 20:55;0.94;max;;
25/06/2021 04:20;-0.28;min;;
25/06/2021 11:05;0.6;max;;
25/06/2021 15:50;0.3;min;;
25/06/2021 21:50;0.9;max;;
26/06/2021 05:05;-0.34;min;;
26/06/2021 12:20;0.56;max;;
26/06/2021 16:40;0.32;min;;
26/06/2021 22:00;0.8;max;;
27/06/2021 05:30;-0.34;min;;
27/06/2021 13:05;0.62;max;;
27/06/2021 18:10;0.35;min;;
27/06/2021 22:55;0.68;max;;
28/06/2021 06:00;-0.27;min;;
28/06/2021 13:25;0.66;max;;
28/06/2021 18:30;0.38;min;;
28/06/2021 23:00;0.59;max;;
29/06/2021 06:25;-0.09;min;;
29/06/2021 15:10;0.69;max;;
29/06/2021 20:10;0.4;min;;
30/06/2021 00:10;0.52;max;;
30/06/2021 06:50;-0.01;min;;
30/06/2021 15:25;0.67;max;;
30/06/2021 20:35;0.38;min;;
30/06/2021 22:10;0.42;max;;
01/07/2021 07:45;-0.06;min;;
01/07/2021 16:35;0.62;max;;
02/07/2021 08:15;-0.03;min;;
02/07/2021 16:30;0.67;max;;
03/07/2021 01:30;0.03;min;;
03/07/2021 07:25;0.12;max;;
03/07/2021 08:45;0.09;min;;
03/07/2021 17:25;0.68;max;;
04/07/2021 01:30;-0.06;min;;
04/07/2021 18:40;0.73;max;;
05/07/2021 02:15;-0.08;min;;
05/07/2021 08:45;0.4;max;;
05/07/2021 13:00;0.19;min;;
05/07/2021 18:15;0.6;max;;
06/07/2021 01:55;-0.12;min;;
06/07/2021 08:20;0.42;max;;
06/07/2021 12:50;0.19;min;;
06/07/2021 19:40;0.65;max;;
07/07/2021 02:45;-0.13;min;;
07/07/2021 08:55;0.5;max;;
07/07/2021 13:55;0.25;min;;
07/07/2021 19:50;0.76;max;;
08/07/2021 03:25;-0.17;min;;
08/07/2021 10:25;0.53;max;;
08/07/2021 14:30;0.28;min;;
08/07/2021 20:45;0.83;max;;
09/07/2021 03:05;-0.29;min;;
09/07/2021 10:25;0.46;max;;
09/07/2021 14:35;0.23;min;;
09/07/2021 20:40;0.75;max;;
10/07/2021 04:35;-0.38;min;;
10/07/2021 10:50;0.5;max;;
10/07/2021 15:50;0.24;min;;
10/07/2021 21:35;0.69;max;;
11/07/2021 04:50;-0.36;min;;
11/07/2021 11:45;0.6;max;;
11/07/2021 16:30;0.24;min;;
11/07/2021 22:05;0.72;max;;
12/07/2021 05:00;-0.32;min;;
12/07/2021 12:10;0.61;max;;
12/07/2021 17:05;0.26;min;;
12/07/2021 21:55;0.71;max;;
13/07/2021 05:30;-0.19;min;;
13/07/2021 12:35;0.86;max;;
13/07/2021 18:10;0.44;min;;
13/07/2021 21:45;0.78;max;;
14/07/2021 06:15;-0.22;min;;
14/07/2021 13:50;0.7;max;;
